,PERSON_ID,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP,DRAFT_NUMBER
0,1630173,Forward,6-8,225,Nigeria,1999-09-19T00:00:00,1,20
0,203500,Center,6-11,265,New Zealand,1993-07-20T00:00:00,8,12
0,1628389,Center-Forward,6-9,255,USA,1997-07-18T00:00:00,4,14
0,1630583,Forward-Center,6-11,215,Spain,2001-01-10T00:00:00,0,30
0,200746,Center-Forward,6-11,250,USA,1985-07-19T00:00:00,15,2
0,1629638,Guard,6-5,205,Canada,1998-09-02T00:00:00,2,17
0,1628960,Guard,6-4,198,USA,1995-10-08T00:00:00,3,21
0,1628386,Center,6-10,243,USA,1998-04-21T00:00:00,4,22
0,1630631,Guard,6-0,179,USA,1998-04-12T00:00:00,0,Undrafted
0,203937,Forward-Guard,6-9,230,USA,1993-09-20T00:00:00,7,30
0,203507,Forward,6-11,242,Greece,1994-12-06T00:00:00,8,15
0,203648,Forward,6-6,219,Greece,1992-07-18T00:00:00,3,51
0,2546,Forward,6-7,238,USA,1984-05-29T00:00:00,18,3
0,1630175,Guard,6-3,185,USA,2000-05-15T00:00:00,1,15
0,1628384,Forward,6-7,232,United Kingdom,1997-07-17T00:00:00,4,23
0,1627853,Guard,6-3,195,USA,1994-03-26T00:00:00,4,Undrafted
0,201571,Guard,5-11,183,USA,1987-11-10T00:00:00,13,9
0,1630166,Forward,6-9,210,Israel,2001-01-03T00:00:00,1,9
0,1629028,Center,6-11,250,Bahamas,1998-07-23T00:00:00,3,1
0,1628962,Center-Forward,7-0,270,Nigeria,1999-09-17T00:00:00,1,27
0,1628963,Forward,6-11,235,USA,1999-03-14T00:00:00,3,2
0,1630163,Guard,6-7,180,USA,2001-08-22T00:00:00,1,3
0,1628366,Guard,6-6,190,USA,1997-10-27T00:00:00,4,2
0,1628964,Center,7-0,231,USA,1998-05-12T00:00:00,3,6
0,1630217,Guard,6-5,215,USA,1998-06-25T00:00:00,1,30
0,1630625,Forward,6-7,204,Canada,1999-11-07T00:00:00,0,46
0,203084,Forward,6-8,225,USA,1992-05-30T00:00:00,9,7
0,1630567,Forward,6-7,225,USA,2001-08-01T00:00:00,0,4
0,1629628,Forward-Guard,6-6,214,Canada,2000-06-14T00:00:00,2,3
0,203115,Guard,6-5,181,USA,1991-01-06T00:00:00,9,40
0,1629646,Center-Forward,6-9,230,Nigeria,2000-10-28T00:00:00,0,53
0,1628966,Forward,6-8,229,USA,1996-01-23T00:00:00,3,48
0,201587,Guard-Forward,6-8,230,France,1988-12-14T00:00:00,13,25
0,203145,Guard-Forward,6-4,195,USA,1989-07-01T00:00:00,9,Undrafted
0,1629647,Forward,6-8,208,USA,2000-06-12T00:00:00,2,23
0,203078,Guard,6-4,207,USA,1993-06-28T00:00:00,9,3
0,1627736,Guard,6-4,187,USA,1996-11-26T00:00:00,5,19
0,202722,Forward,6-10,225,Latvia,1992-11-12T00:00:00,5,42
0,201976,Guard,6-1,180,USA,1988-07-12T00:00:00,9,42
0,1630180,Forward,6-7,215,USA,1999-04-09T00:00:00,1,19
0,203920,Center,6-9,233,Canada,1992-09-28T00:00:00,4,Undrafted
0,1629048,Center-Forward,7-0,250,Georgia,1999-07-20T00:00:00,2,18
0,202687,Center,6-8,255,DRC,1992-08-28T00:00:00,10,7
0,202357,Forward,6-9,234,Serbia,1988-05-09T00:00:00,6,35
0,202339,Guard,6-1,214,USA,1989-12-09T00:00:00,11,18
0,1629833,Guard,6-4,200,USA,1995-11-24T00:00:00,1,
0,203992,Guard,6-6,225,Serbia,1992-08-18T00:00:00,4,27
0,202711,Forward,6-7,226,Croatia,1989-04-18T00:00:00,7,31
0,1629626,Center-Forward,7-2,220,Sudan,1999-11-16T00:00:00,2,44
0,1630195,Forward,6-6,200,Argentina,2000-09-11T00:00:00,0,23
0,1629067,Guard,6-8,180,Germany,1999-11-08T00:00:00,3,39
0,1626164,Guard,6-5,206,USA,1996-10-30T00:00:00,6,13
0,1630527,Guard,6-6,188,USA,2001-11-28T00:00:00,0,51
0,1628449,Forward-Center,6-9,200,Saint Lucia,1993-01-11T00:00:00,4,Undrafted
0,1630547,Guard,6-4,190,USA,2000-09-18T00:00:00,0,11
0,202340,Guard,6-3,180,USA,1990-11-26T00:00:00,11,19
0,1628396,Center-Forward,6-10,248,USA,1998-01-08T00:00:00,4,28
0,1629649,Forward,6-6,221,Canada,1999-01-08T00:00:00,2,47
0,1628969,Forward,6-6,209,USA,1996-08-30T00:00:00,3,10
0,1628970,Forward,6-7,225,USA,1998-03-21T00:00:00,3,12
0,1629052,Forward-Guard,6-7,210,Canada,1998-06-20T00:00:00,2,Undrafted
0,1627763,Guard,6-5,229,USA,1992-12-11T00:00:00,5,36
0,1629717,Guard,6-3,195,USA,1998-06-05T00:00:00,1,
0,1628415,Guard-Forward,6-7,225,Canada,1996-01-22T00:00:00,4,45
0,1628971,Guard-Forward,6-4,202,USA,1996-08-15T00:00:00,3,42
0,1627759,Guard-Forward,6-6,223,USA,1996-10-24T00:00:00,5,3
0,1629650,Center,7-2,245,USA,1999-10-13T00:00:00,2,Undrafted
0,1628425,Guard-Forward,6-5,219,USA,1995-02-10T00:00:00,4,46
0,1630535,Forward,6-7,206,USA,2001-09-01T00:00:00,0,43
0,1629718,Guard,6-6,199,USA,1997-02-02T00:00:00,2,Undrafted
0,1630602,Forward,6-5,215,USA,1998-12-04T00:00:00,0,Undrafted
0,1628972,Guard-Forward,6-6,215,USA,1999-07-28T00:00:00,3,15
0,1628973,Guard,6-1,190,USA,1996-08-31T00:00:00,3,33
0,1628418,Center-Forward,6-10,248,USA,1997-07-31T00:00:00,4,42
0,203493,Guard-Forward,6-6,205,USA,1991-03-16T00:00:00,8,25
0,203504,Guard,6-0,185,USA,1992-11-12T00:00:00,8,9
0,202692,Guard,6-6,214,USA,1991-07-20T00:00:00,10,12
0,1630215,Guard,6-3,193,USA,2000-08-25T00:00:00,0,40
0,202710,Forward,6-7,230,USA,1989-09-14T00:00:00,10,30
0,1629719,Forward,6-7,240,USA,1996-10-08T00:00:00,2,Undrafted
0,203484,Guard,6-5,204,USA,1993-02-18T00:00:00,8,8
0,1630267,Guard,5-10,195,Argentina,1991-03-23T00:00:00,1,Undrafted
0,1628427,Forward,6-8,236,Slovenia,1997-04-10T00:00:00,2,49
0,1629962,Guard,6-2,183,USA,1996-05-21T00:00:00,1,
0,203991,Center,6-10,256,Switzerland,1994-05-18T00:00:00,7,25
0,1630176,Forward-Center,6-9,270,USA,2001-02-25T00:00:00,1,32
0,1628975,Guard,6-1,200,USA,1995-09-14T00:00:00,3,32
0,1628976,Center-Forward,6-10,270,USA,1999-04-16T00:00:00,3,7
0,1627936,Guard,6-5,186,USA,1994-02-28T00:00:00,4,Undrafted
0,1630551,Guard-Forward,6-6,206,USA,2001-06-29T00:00:00,0,Undrafted
0,1629185,Guard,5-11,175,USA,1995-11-21T00:00:00,3,Undrafted
0,1627737,Forward,6-9,240,USA,1997-07-02T00:00:00,5,8
0,1630528,Guard,6-3,215,USA,2001-12-08T00:00:00,0,24
0,1629109,Forward,6-6,225,USA,1994-11-16T00:00:00,3,Undrafted
0,1629634,Forward,6-8,215,Canada,1996-09-19T00:00:00,2,21
0,203903,Guard,6-4,194,USA,1992-06-07T00:00:00,7,46
0,1629651,Forward-Center,6-11,215,USA,1999-04-17T00:00:00,2,31
0,1629599,Guard-Forward,6-7,210,USA,1997-06-17T00:00:00,2,Undrafted
0,1628381,Forward-Center,6-9,226,USA,1997-09-23T00:00:00,4,19
0,1628380,Forward-Center,6-11,250,USA,1997-11-19T00:00:00,3,10
0,201144,Guard,6-1,175,USA,1987-10-11T00:00:00,14,4
0,1626192,Guard,6-5,209,USA,1993-01-06T00:00:00,6,41
0,1629076,Forward,6-8,255,USA,1997-09-23T00:00:00,2,Undrafted
0,1630536,Guard,6-1,176,USA,2001-06-11T00:00:00,0,48
0,202326,Center,6-10,270,USA,1990-08-13T00:00:00,10,5
0,203496,Forward,6-7,209,USA,1990-12-14T00:00:00,8,Undrafted
0,1628470,Forward,6-7,221,USA,1990-12-19T00:00:00,4,Undrafted
0,203109,Forward,6-6,235,USA,1990-07-06T00:00:00,9,34
0,1629633,Guard-Forward,6-6,195,USA,1999-02-20T00:00:00,2,6
0,1630595,Guard,6-6,220,USA,2001-09-25T00:00:00,0,1
0,203552,Guard,6-2,185,USA,1990-08-23T00:00:00,7,Undrafted
0,201939,Guard,6-2,185,USA,1988-03-14T00:00:00,12,7
0,203076,Forward-Center,6-10,253,USA,1993-03-11T00:00:00,9,1
0,202334,Center-Forward,6-9,218,USA,1989-06-05T00:00:00,11,13
0,1629056,Guard,6-4,201,USA,1997-05-16T00:00:00,2,Undrafted
0,201942,Guard-Forward,6-6,220,USA,1989-08-07T00:00:00,12,9
0,203473,Center,7-0,245,USA,1989-08-12T00:00:00,8,Undrafted
0,1628978,Guard,6-4,203,USA,1997-01-31T00:00:00,3,17
0,1628977,Guard,6-5,202,USA,1998-07-31T00:00:00,3,45
0,203476,Center,6-10,248,Senegal,1990-01-18T00:00:00,8,21
0,203915,Guard,6-6,215,USA,1993-04-06T00:00:00,7,38
0,1629029,Forward-Guard,6-7,230,Slovenia,1999-02-28T00:00:00,3,3
0,1629652,Guard,6-3,215,Canada,1999-04-19T00:00:00,2,Undrafted
0,1630245,Guard,6-4,200,USA,2000-01-17T00:00:00,0,38
0,201609,Guard,6-3,190,Slovenia,1986-05-06T00:00:00,13,45
0,203083,Center,6-10,279,USA,1993-08-10T00:00:00,9,9
0,1630537,Guard,6-5,190,Dominican Republic,1997-06-13T00:00:00,0,13
0,1630561,Guard,6-4,204,USA,1999-10-13T00:00:00,0,Undrafted
0,201142,Forward,6-10,240,USA,1988-09-29T00:00:00,13,2
0,1630162,Guard,6-4,225,USA,2001-08-05T00:00:00,1,1
0,1629035,Guard,5-11,200,USA,1998-03-12T00:00:00,2,33
0,1630556,Forward,6-7,203,USA,2000-08-09T00:00:00,0,44
0,1629604,Forward-Guard,6-6,200,USA,2000-06-16T00:00:00,1,46
0,201961,Guard,6-4,207,USA,1987-11-29T00:00:00,12,28
0,203954,Center-Forward,7-0,280,Cameroon,1994-03-16T00:00:00,5,3
0,202324,Forward,6-9,265,USA,1991-07-15T00:00:00,11,3
0,1628981,Forward-Center,6-9,240,Angola,1998-08-15T00:00:00,2,34
0,1627827,Forward,6-7,220,USA,1993-05-04T00:00:00,5,Undrafted
0,1630238,Forward,6-5,230,USA,1997-07-04T00:00:00,1,Undrafted
0,1630201,Guard,6-1,175,USA,1998-05-09T00:00:00,1,29
0,1627854,Guard,6-2,205,USA,1993-07-23T00:00:00,5,Undrafted
0,1630235,Guard,6-4,210,USA,1998-06-12T00:00:00,1,Undrafted
0,203095,Guard-Forward,6-6,205,France,1992-10-29T00:00:00,9,20
0,1628368,Guard,6-3,185,USA,1997-12-20T00:00:00,4,5
0,1628982,Guard-Forward,6-5,215,USA,1996-08-30T00:00:00,2,35
0,1628365,Guard,6-4,209,USA,1998-05-29T00:00:00,4,1
0,1629117,Forward,6-9,205,South Sudan,1997-03-26T00:00:00,2,Undrafted
0,1629655,Forward-Center,6-9,234,USA,1998-10-01T00:00:00,2,38
0,201568,Forward,6-10,236,Italy,1988-08-08T00:00:00,12,6
0,1629636,Guard,6-1,192,USA,2000-01-26T00:00:00,2,5
0,1630586,Forward,6-8,229,Spain,2002-03-09T00:00:00,0,23
0,1630568,Center,6-10,243,USA,1998-12-27T00:00:00,0,52
0,200752,Forward-Guard,6-8,250,USA,1986-08-17T00:00:00,15,8
0,202331,Forward,6-8,220,USA,1990-05-02T00:00:00,11,10
0,201959,Forward,6-9,232,USA,1985-06-24T00:00:00,12,26
0,1630581,Guard,6-8,205,Australia,2002-10-10T00:00:00,0,6
0,1628983,Guard,6-6,180,Canada,1998-07-12T00:00:00,3,11
0,1630264,Forward,6-7,230,USA,1992-10-17T00:00:00,1,Undrafted
0,203497,Center,7-1,258,France,1992-06-26T00:00:00,8,27
0,1629164,Guard,6-0,180,USA,1995-10-02T00:00:00,3,Undrafted
0,203932,Forward,6-8,235,USA,1995-09-16T00:00:00,7,4
0,201569,Guard,6-3,215,USA,1988-12-25T00:00:00,13,7
0,1628984,Guard,6-1,195,USA,1995-02-22T00:00:00,3,34
0,203924,Forward,6-8,210,USA,1994-03-12T00:00:00,7,39
0,201980,Guard,6-6,215,USA,1987-06-22T00:00:00,12,46
0,203110,Forward,6-6,230,USA,1990-03-04T00:00:00,9,35
0,203210,Forward-Center,6-8,227,USA,1990-06-21T00:00:00,7,Undrafted
0,1630224,Guard,6-4,186,USA,2002-02-09T00:00:00,0,2
0,1629750,Guard-Forward,6-5,205,USA,1993-07-23T00:00:00,2,Undrafted
0,201145,Forward,6-8,235,USA,1986-08-28T00:00:00,13,5
0,1630182,Guard,6-5,200,Australia,2000-11-16T00:00:00,1,18
0,201933,Forward,6-9,250,USA,1989-03-16T00:00:00,11,1
0,1629656,Guard,6-4,210,USA,2000-05-08T00:00:00,0,25
0,1629060,Forward,6-8,230,Japan,1998-02-08T00:00:00,2,9
0,1630169,Guard,6-5,185,USA,2000-02-29T00:00:00,1,12
0,1630181,Guard,6-4,175,USA,2001-02-07T00:00:00,1,24
0,203501,Guard-Forward,6-5,205,USA,1992-03-16T00:00:00,8,24
0,201935,Guard,6-5,220,USA,1989-08-26T00:00:00,12,3
0,203090,Forward-Guard,6-7,220,USA,1993-05-11T00:00:00,9,15
0,1629607,Guard,5-10,175,USA,1997-09-14T00:00:00,2,Undrafted
0,1626149,Forward-Center,6-7,240,USA,1994-01-26T00:00:00,6,32
0,203914,Guard,6-4,210,USA,1994-09-14T00:00:00,7,19
0,203925,Guard-Forward,6-6,220,USA,1991-09-06T00:00:00,7,33
0,202699,Forward,6-7,226,USA,1992-07-15T00:00:00,10,19
0,1628404,Guard,6-5,215,USA,1995-03-06T00:00:00,4,30
0,1628392,Center-Forward,7-0,250,Germany,1998-05-05T00:00:00,3,43
0,2617,Forward,6-8,235,USA,1980-06-09T00:00:00,18,Undrafted
0,1630573,Forward,6-7,217,USA,1997-12-08T00:00:00,0,Undrafted
0,1629637,Center-Forward,6-11,220,USA,2000-05-23T00:00:00,2,8
0,1630165,Guard,6-5,195,France,2001-07-27T00:00:00,1,7
0,202330,Forward,6-7,225,USA,1990-03-23T00:00:00,11,9
0,1627823,Forward,6-9,214,Spain,1995-09-28T00:00:00,5,15
0,1626195,Center-Forward,6-11,250,Spain,1994-05-27T00:00:00,5,35
0,1629639,Guard,6-5,195,USA,2000-01-20T00:00:00,2,13
0,1627741,Guard,6-4,220,Bahamas,1992-12-17T00:00:00,5,6
0,1629312,Forward,6-4,220,USA,1996-12-09T00:00:00,1,
0,201588,Guard,6-4,188,USA,1986-05-04T00:00:00,13,26
0,1630792,Forward,6-6,220,USA,1995-10-26T00:00:00,0,Undrafted
0,1630207,Guard-Forward,6-5,210,USA,1999-06-08T00:00:00,1,Undrafted
0,1628988,Guard,6-0,185,USA,1996-09-30T00:00:00,3,23
0,201950,Guard,6-3,205,USA,1990-06-12T00:00:00,12,17
0,203200,Forward-Guard,6-6,180,USA,1989-04-05T00:00:00,8,Undrafted
0,1626158,Forward,6-10,235,USA,1993-10-15T00:00:00,6,37
0,203918,Guard-Forward,6-8,208,USA,1992-10-20T00:00:00,7,23
0,201143,Center-Forward,6-9,240,Dominican Republic,1986-06-03T00:00:00,14,3
0,1629659,Guard,6-4,234,USA,2000-11-25T00:00:00,2,46
0,1627863,Forward-Guard,6-6,220,USA,1993-06-07T00:00:00,5,Undrafted
0,2730,Center-Forward,6-10,265,USA,1985-12-08T00:00:00,17,1
0,1630210,Guard,5-10,175,USA,1999-03-03T00:00:00,1,Undrafted
0,1628989,Guard-Forward,6-7,198,USA,1998-08-27T00:00:00,3,19
0,1630190,Guard,6-5,215,USA,1998-03-10T00:00:00,1,39
0,1630624,Forward,6-8,195,USA,1999-07-05T00:00:00,0,Undrafted
0,1629631,Forward-Guard,6-8,221,USA,1997-12-02T00:00:00,2,4
0,1630538,Guard,6-2,169,USA,2000-09-14T00:00:00,0,26
0,201586,Forward,6-10,235,Republic of the Congo,1989-09-18T00:00:00,12,24
0,2738,Guard-Forward,6-6,215,USA,1984-01-28T00:00:00,17,9
0,204060,Forward-Guard,6-8,220,Australia,1987-10-02T00:00:00,7,Undrafted
0,1627742,Forward,6-8,190,USA,1997-09-02T00:00:00,5,2
0,202681,Guard,6-2,195,Australia,1992-03-23T00:00:00,10,1
0,1628371,Forward,6-10,230,USA,1997-10-03T00:00:00,3,6
0,1628402,Guard,6-3,205,USA,1998-05-04T00:00:00,3,31
0,1630543,Forward,6-10,205,USA,2002-01-10T00:00:00,0,22
0,1628367,Guard-Forward,6-8,207,USA,1997-02-10T00:00:00,4,4
0,202704,Guard,6-2,208,USA,1990-04-16T00:00:00,10,24
0,1628991,Forward-Center,6-11,242,USA,1999-09-15T00:00:00,3,4
0,2544,Forward,6-9,250,USA,1984-12-30T00:00:00,18,1
0,1629660,Guard-Forward,6-5,195,USA,1997-07-08T00:00:00,2,24
0,1630198,Guard,6-4,165,USA,1999-07-02T00:00:00,1,49
0,1629661,Forward,6-8,210,USA,1996-03-03T00:00:00,2,11
0,1630525,Guard,6-4,203,USA,2001-02-26T00:00:00,0,47
0,1630552,Forward,6-8,219,USA,2001-12-18T00:00:00,0,20
0,1629640,Forward-Guard,6-6,220,USA,1999-10-11T00:00:00,2,29
0,1630553,Guard,6-4,185,USA,2002-03-10T00:00:00,0,21
0,1626169,Forward-Guard,6-6,242,USA,1996-05-29T00:00:00,6,8
0,203999,Center,6-11,284,Serbia,1995-02-19T00:00:00,6,41
0,1627745,Center,6-11,245,USA,1995-06-30T00:00:00,5,30
0,1630529,Forward,6-7,206,USA,1998-10-06T00:00:00,0,35
0,1630539,Center-Forward,6-10,221,Bahamas,2001-01-19T00:00:00,0,19
0,1630222,Guard,6-4,200,USA,1998-07-21T00:00:00,1,Undrafted
0,1630200,Guard,6-1,185,USA,2000-01-08T00:00:00,1,41
0,1626145,Guard,6-0,196,USA,1996-05-10T00:00:00,6,24
0,1627884,Forward,6-6,210,USA,1997-02-15T00:00:00,5,Undrafted
0,201599,Center,6-11,265,USA,1988-07-21T00:00:00,13,35
0,202709,Guard,6-3,200,Canada,1991-08-20T00:00:00,10,29
0,1628379,Guard,6-5,206,USA,1996-06-24T00:00:00,4,12
0,1630296,Forward,6-8,225,USA,1997-02-14T00:00:00,0,Undrafted
0,1630557,Forward,6-6,224,USA,1999-03-03T00:00:00,0,15
0,1628467,Forward,6-10,240,Germany,1992-01-29T00:00:00,4,Undrafted
0,1630233,Forward-Center,6-10,253,USA,1997-09-20T00:00:00,1,Undrafted
0,1628995,Forward,6-7,215,USA,1999-08-11T00:00:00,3,9
0,1629723,Guard,6-5,210,USA,1996-03-22T00:00:00,2,Undrafted
