,PERSON_ID,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP,DRAFT_NUMBER
0,1627788,Guard-Forward,6-7,202,Turkey,1997-07-24T00:00:00,4,26
0,1628436,Center-Forward,7-2,250,USA,1995-07-15T00:00:00,4,Undrafted
0,1630249,Guard,6-8,195,Czech Republic,2000-06-19T00:00:00,0,37
0,1629083,Forward,6-10,209,Lithuania,1998-01-04T00:00:00,0,55
0,1630228,Forward,6-7,225,DRC,2002-10-06T00:00:00,0,7
0,1628398,Forward,6-9,221,USA,1995-07-24T00:00:00,4,27
0,203897,Guard-Forward,6-5,200,USA,1995-03-10T00:00:00,7,13
0,1630237,Forward,6-6,227,USA,1998-01-20T00:00:00,1,Undrafted
0,203087,Guard-Forward,6-5,180,USA,1992-05-30T00:00:00,9,12
0,1629111,Center,6-11,255,Australia,1995-10-25T00:00:00,0,Undrafted
0,1629641,Guard-Forward,6-5,216,USA,1999-10-25T00:00:00,2,14
0,1627774,Forward,6-8,209,USA,1994-03-07T00:00:00,5,47
0,1627747,Guard,6-6,205,USA,1994-08-25T00:00:00,5,20
0,1627814,Guard-Forward,6-5,210,USA,1992-10-21T00:00:00,4,Undrafted
0,1630240,Guard,6-2,183,USA,1999-06-23T00:00:00,1,38
0,203458,Center,7-0,250,Ukraine,1993-06-16T00:00:00,8,5
0,202695,Forward,6-7,225,USA,1991-06-29T00:00:00,10,15
0,1630575,Guard,6-5,185,USA,2000-03-12T00:00:00,0,56
0,1630184,Guard,6-1,170,USA,2001-04-06T00:00:00,1,13
0,203081,Guard,6-2,195,USA,1990-07-15T00:00:00,9,6
0,1629642,Forward-Guard,6-5,220,USA,2000-02-11T00:00:00,2,25
0,1630587,Forward,6-6,232,USA,1998-07-28T00:00:00,0,42
0,1626172,Forward,6-9,222,USA,1996-02-06T00:00:00,6,30
0,201572,Center,7-0,282,USA,1988-04-01T00:00:00,13,10
0,201577,Center,7-0,281,USA,1988-04-01T00:00:00,13,15
0,1629712,Guard,6-5,188,Brazil,1999-07-02T00:00:00,1,35
0,201567,Forward-Center,6-8,251,USA,1988-09-07T00:00:00,13,5
0,200768,Guard,6-0,196,USA,1986-03-25T00:00:00,15,24
0,1630994,Guard,6-4,203,Denmark,1994-12-04T00:00:00,0,Undrafted
0,1627789,Guard-Forward,6-7,215,France,1995-05-09T00:00:00,5,24
0,1626168,Forward,6-9,234,Canada,1995-11-05T00:00:00,6,12
0,1630177,Guard,6-4,175,France,2001-06-12T00:00:00,1,34
0,1630572,Forward-Center,6-9,240,Georgia,1999-05-23T00:00:00,0,54
0,1629611,Guard-Forward,6-5,215,USA,1996-10-18T00:00:00,2,48
0,1630544,Guard,6-3,178,USA,2001-02-03T00:00:00,0,18
0,1626246,Center,7-3,290,Serbia,1988-08-15T00:00:00,6,Undrafted
0,1628374,Forward-Center,6-11,240,Finland,1997-05-22T00:00:00,4,7
0,1630230,Forward,6-7,220,USA,1998-01-24T00:00:00,1,Undrafted
0,1628997,Forward,6-5,205,USA,1995-09-28T00:00:00,2,Undrafted
0,1628998,Forward,6-6,205,USA,1995-09-28T00:00:00,2,36
0,1630231,Forward,6-5,215,USA,2001-01-06T00:00:00,1,52
0,1629726,Guard,6-5,215,USA,1996-10-24T00:00:00,2,Undrafted
0,202083,Guard,6-4,220,USA,1986-10-14T00:00:00,12,Undrafted
0,1630178,Guard,6-2,200,USA,2000-11-04T00:00:00,1,21
0,1630219,Guard,6-4,205,USA,1997-09-05T00:00:00,1,50
0,1630540,Guard,6-1,195,USA,2000-09-08T00:00:00,0,36
0,1630644,Guard,6-2,185,USA,1999-01-06T00:00:00,0,Undrafted
0,203468,Guard,6-3,190,USA,1991-09-19T00:00:00,8,10
0,204456,Guard,6-1,190,USA,1992-03-25T00:00:00,6,
0,1630183,Forward,6-9,185,USA,2000-09-29T00:00:00,1,28
0,1629667,Forward-Center,6-9,205,USA,1998-01-31T00:00:00,2,52
0,203926,Forward,6-7,225,USA,1992-01-03T00:00:00,7,11
0,201580,Center-Forward,7-0,270,USA,1988-01-19T00:00:00,13,18
0,203585,Guard,6-4,205,USA,1991-07-29T00:00:00,5,Undrafted
0,1629162,Guard,5-11,185,USA,1996-04-09T00:00:00,2,Undrafted
0,203463,Guard,6-3,195,USA,1993-02-11T00:00:00,8,7
0,1629001,Guard,6-2,200,USA,1998-05-28T00:00:00,3,46
0,1629002,Forward-Center,6-9,225,USA,1997-03-22T00:00:00,3,49
0,203114,Forward,6-7,222,USA,1991-08-12T00:00:00,9,39
0,201988,Guard,6-0,180,Australia,1988-08-11T00:00:00,12,55
0,200794,Forward,6-7,257,USA,1985-02-10T00:00:00,15,47
0,1629003,Guard-Forward,6-5,205,USA,1996-09-26T00:00:00,3,54
0,1630558,Guard,6-0,202,USA,1998-09-05T00:00:00,0,9
0,1628378,Guard,6-1,215,USA,1996-09-07T00:00:00,4,13
0,1630596,Center,6-11,215,USA,2001-06-18T00:00:00,0,3
0,1628370,Guard,6-3,200,USA,1998-02-04T00:00:00,4,11
0,202328,Forward-Center,6-10,250,USA,1990-06-04T00:00:00,9,7
0,1630541,Guard,6-5,211,USA,2002-05-31T00:00:00,0,14
0,1629875,Guard,6-2,165,USA,1995-01-02T00:00:00,0,Undrafted
0,1629630,Guard,6-3,174,USA,1999-08-10T00:00:00,2,2
0,1629752,Forward,6-7,232,USA,1997-04-17T00:00:00,2,Undrafted
0,202693,Forward,6-9,245,USA,1989-09-02T00:00:00,10,13
0,1628420,Guard,6-2,183,USA,1995-06-27T00:00:00,4,51
0,202694,Forward,6-8,218,USA,1989-09-02T00:00:00,10,14
0,1628539,Guard,6-3,195,Canada,1994-06-12T00:00:00,2,Undrafted
0,1630530,Forward,6-8,206,USA,2000-06-18T00:00:00,0,17
0,1627749,Guard,6-4,180,USA,1996-09-19T00:00:00,4,29
0,1627750,Guard,6-3,215,Canada,1997-02-23T00:00:00,5,7
0,203488,Forward-Center,6-10,240,USA,1991-07-01T00:00:00,8,44
0,1629004,Guard-Forward,6-7,205,Ukraine,1997-06-10T00:00:00,3,47
0,1626204,Forward-Center,6-7,245,USA,1993-01-01T00:00:00,6,27
0,1630612,Guard,6-4,200,USA,1999-03-22T00:00:00,0,Undrafted
0,1630174,Guard-Forward,6-5,215,USA,1999-10-16T00:00:00,1,14
0,203526,Guard,6-2,180,Brazil,1992-05-19T00:00:00,6,47
0,1627777,Forward,6-7,230,USA,1993-06-17T00:00:00,5,50
0,1630227,Guard,6-4,226,USA,2002-02-13T00:00:00,0,Undrafted
0,1630192,Forward-Center,6-9,240,USA,2001-01-09T00:00:00,1,22
0,203457,Center-Forward,6-11,220,USA,1994-04-10T00:00:00,7,6
0,1629669,Guard,6-4,201,USA,1999-07-09T00:00:00,2,43
0,1628373,Guard,6-4,200,France,1998-07-28T00:00:00,4,8
0,1629134,Guard,6-2,190,USA,1995-08-03T00:00:00,2,Undrafted
0,203994,Center,6-11,290,Bosnia and Herzegovina,1994-08-23T00:00:00,7,16
0,1628021,Guard-Forward,6-5,219,USA,1993-01-14T00:00:00,5,Undrafted
0,1629670,Forward,6-8,225,USA,1998-09-09T00:00:00,1,45
0,1626220,Forward,6-5,226,USA,1993-06-05T00:00:00,4,Undrafted
0,1629643,Forward,6-6,229,USA,1998-08-18T00:00:00,1,16
0,1629006,Guard,6-4,213,Nigeria,1998-09-01T00:00:00,3,20
0,1630168,Forward-Center,6-8,240,USA,2000-12-11T00:00:00,1,6
0,1630171,Forward-Guard,6-5,225,USA,2001-01-26T00:00:00,1,5
0,203506,Guard,6-4,213,USA,1992-05-04T00:00:00,8,2
0,203482,Forward-Center,6-11,240,Canada,1991-04-19T00:00:00,8,13
0,1626224,Forward,6-7,230,Turkey,1995-04-08T00:00:00,4,31
0,1626162,Forward-Guard,6-6,203,USA,1995-12-09T00:00:00,6,15
0,1629672,Forward,6-6,255,USA,1996-11-04T00:00:00,2,41
0,101108,Guard,6-0,175,USA,1985-05-06T00:00:00,16,4
0,1626166,Guard,6-1,183,USA,1994-08-08T00:00:00,6,14
0,203901,Guard,6-3,195,USA,1994-02-22T00:00:00,7,10
0,1627780,Guard,6-3,195,USA,1992-12-01T00:00:00,5,Undrafted
0,1630691,Forward,6-9,206,USA,1997-12-24T00:00:00,0,Undrafted
0,1629033,Guard-Forward,6-5,212,USA,1995-11-05T00:00:00,3,Undrafted
0,203486,Forward-Center,6-11,254,USA,1990-03-05T00:00:00,8,22
0,1627751,Center,7-1,245,Austria,1995-10-15T00:00:00,5,9
0,1630197,Forward,7-0,190,Serbia,2001-12-26T00:00:00,1,17
0,1630582,Forward,6-5,206,France,1999-05-07T00:00:00,0,Undrafted
0,1629673,Guard,6-4,194,USA,1999-06-19T00:00:00,2,28
0,1629645,Guard-Forward,6-4,203,USA,2000-05-04T00:00:00,2,30
0,1629008,Forward,6-10,218,USA,1998-06-29T00:00:00,2,14
0,203490,Forward,6-8,198,USA,1993-06-03T00:00:00,8,3
0,1626171,Forward,6-10,250,USA,1995-02-10T00:00:00,6,22
0,204001,Forward-Center,7-3,240,Latvia,1995-08-02T00:00:00,5,4
0,203939,Forward-Center,6-10,240,Canada,1991-07-20T00:00:00,7,45
0,1629619,Guard,6-2,195,USA,1997-07-07T00:00:00,0,Undrafted
0,1626181,Guard,6-3,215,USA,1993-05-25T00:00:00,6,46
0,1630563,Guard,6-4,189,Canada,2002-12-24T00:00:00,0,12
0,1627752,Forward,6-6,218,USA,1994-03-22T00:00:00,5,12
0,1630202,Guard,6-1,195,USA,1998-01-28T00:00:00,1,26
0,1630243,Guard,6-6,190,USA,1997-02-25T00:00:00,0,Undrafted
0,1629674,Center,7-0,248,Portugal,1999-07-13T00:00:00,0,39
0,1630193,Guard,6-3,190,USA,1999-06-17T00:00:00,1,25
0,203944,Forward-Center,6-8,250,USA,1994-11-29T00:00:00,7,7
0,1630559,Guard,6-5,197,USA,1998-05-29T00:00:00,0,Undrafted
0,1629629,Forward-Guard,6-8,217,USA,1999-09-01T00:00:00,2,10
0,1628432,Guard,6-5,206,USA,1995-06-11T00:00:00,2,32
0,1630194,Forward,6-9,210,USA,1999-06-14T00:00:00,1,58
0,1629675,Center-Forward,6-9,264,USA,1999-08-26T00:00:00,2,Undrafted
0,1630208,Center,7-0,245,Jamaica,1997-11-29T00:00:00,1,42
0,1626196,Guard,6-5,200,USA,1993-09-15T00:00:00,6,40
0,203085,Guard,6-4,200,USA,1992-08-01T00:00:00,9,10
0,1629130,Forward,6-7,215,USA,1994-04-22T00:00:00,3,Undrafted
0,1629011,Center-Forward,7-0,240,USA,1998-04-01T00:00:00,3,36
0,1630526,Forward,6-8,242,USA,2000-11-03T00:00:00,0,32
0,1629676,Forward,6-8,230,USA,1998-02-03T00:00:00,2,45
0,200765,Guard,6-1,180,USA,1986-02-22T00:00:00,15,21
0,201565,Guard,6-2,200,USA,1988-10-04T00:00:00,12,1
0,203082,Guard-Forward,6-6,206,USA,1991-02-05T00:00:00,9,8
0,1626179,Guard,6-1,190,USA,1994-03-17T00:00:00,6,16
0,201937,Guard,6-2,190,Spain,1990-10-21T00:00:00,10,5
0,1626156,Guard,6-4,193,USA,1996-02-23T00:00:00,6,2
0,1630346,Forward,6-7,215,USA,1997-04-17T00:00:00,0,Undrafted
0,1627734,Forward-Center,6-11,240,Lithuania,1996-05-03T00:00:00,5,11
0,203967,Forward-Center,6-10,225,Croatia,1994-04-08T00:00:00,5,12
0,203107,Guard,6-7,210,Czech Republic,1991-10-30T00:00:00,5,32
0,1630648,Guard,6-6,200,USA,1998-06-13T00:00:00,0,Undrafted
0,1629678,Forward,6-5,241,United Kingdom,1997-03-30T00:00:00,1,42
0,203471,Guard,6-1,172,Germany,1993-09-15T00:00:00,8,17
0,1630206,Guard,6-5,220,USA,2000-09-01T00:00:00,1,55
0,1630578,Center,6-10,243,Turkey,2002-07-25T00:00:00,0,16
0,1629012,Guard,6-1,190,USA,1999-01-04T00:00:00,3,8
0,1629013,Guard,6-4,190,USA,1997-03-13T00:00:00,3,26
0,1630549,Forward,6-9,265,USA,2001-11-06T00:00:00,0,29
0,1627783,Forward,6-8,230,Cameroon,1994-04-02T00:00:00,5,27
0,1627732,Guard-Forward,6-11,240,Australia,1996-07-20T00:00:00,4,1
0,1630250,Center,6-11,220,Montenegro,1999-10-15T00:00:00,0,44
0,1629014,Guard,6-3,181,USA,1999-06-08T00:00:00,3,24
0,1630579,Center,6-9,250,USA,1998-10-20T00:00:00,0,58
0,1630606,Guard,6-4,205,USA,1999-06-03T00:00:00,0,Undrafted
0,203935,Guard,6-4,220,USA,1994-03-06T00:00:00,7,6
0,202397,Guard,6-0,175,USA,1988-07-05T00:00:00,11,Undrafted
0,1630188,Forward-Center,6-10,215,USA,2000-03-16T00:00:00,1,10
0,1630270,Forward,6-5,215,USA,1997-12-21T00:00:00,0,Undrafted
0,203503,Guard,6-6,213,USA,1991-11-10T00:00:00,8,20
0,1630531,Guard,6-4,202,USA,2002-09-25T00:00:00,0,28
0,203917,Guard,6-6,207,Canada,1993-10-07T00:00:00,5,8
0,202362,Forward,6-5,210,USA,1990-09-05T00:00:00,9,40
0,1630205,Forward,6-6,230,USA,1997-07-09T00:00:00,1,Undrafted
0,1630191,Forward-Center,6-8,250,USA,2001-05-22T00:00:00,1,16
0,1629622,Guard-Forward,6-5,215,USA,1996-03-28T00:00:00,2,Undrafted
0,1630591,Guard,6-5,205,USA,2001-06-03T00:00:00,0,5
0,1630256,Forward,6-4,230,USA,1995-10-28T00:00:00,1,Undrafted
0,1628369,Forward-Guard,6-8,210,USA,1998-03-03T00:00:00,4,3
0,1630678,Forward,6-5,230,USA,1999-09-23T00:00:00,0,Undrafted
0,202066,Guard-Forward,6-5,195,USA,1986-05-08T00:00:00,11,Undrafted
0,1630179,Guard,6-2,160,USA,2000-09-28T00:00:00,1,31
0,1628464,Forward-Center,6-9,245,Germany,1992-04-04T00:00:00,4,Undrafted
0,1630271,Guard,6-5,185,USA,1997-01-28T00:00:00,1,Undrafted
0,1630560,Guard,6-3,210,Japan,2001-10-13T00:00:00,0,27
0,202738,Guard,5-9,185,USA,1989-02-07T00:00:00,10,60
0,1629744,Guard,6-3,190,USA,1994-08-04T00:00:00,2,Undrafted
0,202691,Guard,6-6,220,USA,1990-02-08T00:00:00,8,11
0,202684,Center-Forward,6-9,254,Canada,1991-03-13T00:00:00,10,4
0,1630550,Forward,6-9,203,USA,2002-08-26T00:00:00,0,37
0,1629680,Guard-Forward,6-5,201,USA,1997-03-04T00:00:00,2,20
0,1629681,Forward-Center,6-9,220,France,1998-03-05T00:00:00,1,Undrafted
0,1630214,Forward,6-8,245,USA,1999-01-12T00:00:00,1,35
0,1630225,Forward,6-9,219,USA,2001-10-17T00:00:00,0,31
0,1630167,Forward,6-9,220,USA,1998-03-04T00:00:00,1,8
0,1629308,Forward,6-6,209,USA,1993-04-10T00:00:00,2,Undrafted
0,1626157,Center-Forward,6-11,248,USA,1995-11-15T00:00:00,6,1
0,1629018,Guard-Forward,6-5,209,USA,1999-01-18T00:00:00,3,37
0,200782,Forward,6-5,245,USA,1985-05-05T00:00:00,10,35
0,1629730,Guard,6-3,209,USA,1997-09-24T00:00:00,2,Undrafted
0,1626167,Center-Forward,6-11,250,USA,1996-03-24T00:00:00,6,11
0,202685,Center,6-11,265,Lithuania,1992-05-06T00:00:00,9,5
0,1627832,Guard,6-1,197,USA,1994-02-25T00:00:00,5,Undrafted
0,1629020,Forward,6-9,214,USA,1999-04-03T00:00:00,3,41
0,1630170,Guard-Forward,6-5,200,USA,2000-08-23T00:00:00,1,11
0,1629216,Guard,6-3,200,USA,1996-06-14T00:00:00,2,Undrafted
0,202696,Center,6-10,260,Montenegro,1990-10-24T00:00:00,10,16
0,1629731,Forward-Center,6-9,228,USA,1996-11-20T00:00:00,2,Undrafted
0,1630532,Forward,6-10,220,Germany,2001-08-27T00:00:00,0,8
0,1629021,Forward-Center,6-11,245,Germany,1997-04-26T00:00:00,3,25
0,1630688,Forward,6-5,250,USA,1994-09-12T00:00:00,0,Undrafted
0,202689,Guard,6-0,184,USA,1990-05-08T00:00:00,10,9
0,1629022,Guard-Forward,6-4,204,USA,1998-12-14T00:00:00,3,18
0,202322,Guard,6-3,210,USA,1990-09-06T00:00:00,10,1
0,203933,Forward,6-8,220,USA,1993-09-05T00:00:00,7,14
0,1629023,Forward,6-7,230,USA,1998-08-23T00:00:00,2,12
0,1630613,Guard,6-3,197,Germany,2000-03-24T00:00:00,0,Undrafted
0,1629139,Guard-Forward,6-9,215,Japan,1994-10-13T00:00:00,3,Undrafted
0,1630322,Forward,6-6,215,USA,1997-07-28T00:00:00,0,Undrafted
0,1630570,Forward,6-8,237,USA,2000-11-09T00:00:00,0,Undrafted
0,1629683,Guard,6-3,205,USA,1996-09-10T00:00:00,2,49
0,201566,Guard,6-3,200,USA,1988-11-12T00:00:00,13,4
0,1629632,Guard,6-4,195,USA,2000-02-16T00:00:00,2,7
0,1628401,Guard,6-4,190,USA,1994-07-02T00:00:00,4,29
0,202355,Center,7-0,265,USA,1989-06-13T00:00:00,9,33
0,1630580,Guard-Forward,6-6,205,USA,1999-08-23T00:00:00,0,41
0,1630598,Guard,6-4,190,USA,1999-01-02T00:00:00,0,55
0,203952,Forward,6-7,197,Canada,1995-02-23T00:00:00,7,1
0,1629623,Guard,6-1,189,Canada,1998-03-28T00:00:00,0,
0,1630314,Guard,6-2,190,USA,1999-11-22T00:00:00,0,Undrafted
0,1629684,Forward,6-6,236,USA,1998-11-30T00:00:00,2,22
0,1629026,Guard-Forward,6-6,210,USA,1994-12-02T00:00:00,3,Undrafted
0,101150,Guard,6-2,175,USA,1986-10-27T00:00:00,16,45
0,1630172,Forward,6-7,215,USA,2001-08-26T00:00:00,1,4
0,1630533,Forward,6-9,185,USA,2001-09-12T00:00:00,0,10
0,1629057,Center-Forward,6-9,237,USA,1997-10-17T00:00:00,3,27
0,1629627,Forward,6-6,284,USA,2000-07-06T00:00:00,2,1
0,1629685,Guard-Forward,6-6,196,USA,1996-09-22T00:00:00,1,26
0,1626159,Forward-Guard,6-6,222,USA,1996-03-26T00:00:00,6,10
0,1630216,Guard,6-1,185,USA,1998-02-28T00:00:00,1,53
0,1630164,Center,7-0,240,USA,2001-03-31T00:00:00,1,2
0,1626174,Forward,6-9,214,USA,1995-09-27T00:00:00,5,Undrafted
0,1630218,Forward,6-6,235,USA,1999-09-22T00:00:00,1,40
0,1626153,Guard,6-5,185,USA,1992-04-26T00:00:00,6,20
0,1630589,Forward,6-8,226,USA,1998-12-23T00:00:00,0,Undrafted
0,1630593,Guard,5-11,192,USA,1998-10-25T00:00:00,0,Undrafted
0,1628221,Guard,6-3,190,USA,1993-08-02T00:00:00,0,Undrafted
0,201152,Forward,6-8,235,USA,1988-06-21T00:00:00,14,12
0,1629027,Guard,6-1,164,USA,1998-09-19T00:00:00,3,5
0,1630209,Center,6-11,275,Turkey,1998-06-19T00:00:00,0,Undrafted
0,1627826,Center,7-0,240,Croatia,1997-03-18T00:00:00,5,32
